steps,avg_reward
1190000,-8403.5
1200000,-17731.900390625
1210000,-3933.10009765625
1220000,-3264.39990234375
1230000,-9819.2001953125
1240000,-1981.4000244140625
1250000,-1124.0999755859375
1260000,-4122.5
1270000,-1162.300048828125
1280000,-1970.300048828125
1290000,-5849.5
1300000,-3229.800048828125
1310000,-2004.199951171875
1320000,-2579.800048828125
1330000,-3279.0
1340000,-941.2000122070312
1350000,-2031.300048828125
1360000,-3167.0
1370000,-1416.5
1380000,-1006.2000122070312
1390000,-458.3999938964844
1400000,-974.5
1410000,-1375.800048828125
1420000,-1657.5999755859375
1430000,-1402.9000244140625
1440000,-1194.699951171875
1450000,-5355.60009765625
1460000,-4493.39990234375
1470000,-1143.800048828125
1480000,-976.0999755859375
1490000,-6282.89990234375
1500000,-1972.5
1510000,-5242.7001953125
1520000,-5151.10009765625
1530000,-4234.60009765625
1540000,-1057.5
1550000,-9680.599609375
1560000,-7143.7998046875
1570000,-1213.0999755859375
1580000,-9105.7001953125
1590000,-4176.60009765625
1600000,-2554.0
1610000,-7231.7001953125
1620000,-2371.800048828125
1630000,-956.0999755859375
1640000,-962.4000244140625
1650000,-3081.89990234375
1660000,-1430.699951171875
1670000,-1385.199951171875
1680000,-1544.4000244140625
1690000,-1479.800048828125
1700000,-21440.80078125
1710000,-1319.5999755859375
1720000,-733.5999755859375
1730000,-5169.0
1740000,-5612.39990234375
1750000,-1658.199951171875
1760000,-4700.89990234375
1770000,-2817.5
1780000,-740.0
1790000,-9156.7998046875
1800000,-4765.39990234375
1810000,-977.5
1820000,-2245.60009765625
1830000,-1073.199951171875
1840000,-965.0999755859375
1850000,-3098.0
1860000,-980.4000244140625
1870000,-1181.800048828125
1880000,-2256.89990234375
1890000,-1189.9000244140625
1900000,-964.7000122070312
1910000,-964.0999755859375
1920000,-1034.9000244140625
1930000,-21836.900390625
1940000,-965.7999877929688
1950000,-1990.4000244140625
1960000,-2513.89990234375
1970000,-1925.5
1980000,-1024.0
1990000,-2187.10009765625
2000000,-1204.0
2010000,-1612.375
2020000,-3085.60009765625
2030000,-516.9000244140625
2040000,-8823.2001953125
2050000,-1065.699951171875
2060000,-945.7000122070312
2070000,-1026.0
